Email,Дисципліна,Оцінка,Семестр,Вид контролю
"d.shevchenko@khpi.edu.ua","Бази даних",71,3,"Екзамен"
"d.shevchenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",75,3,"Лабораторна робота 3"
"d.shevchenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",78,3,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",76,3,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Об'єктно-орієнтоване програмування",73,3,"Екзамен"
"d.shevchenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",76,3,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",90,3,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",72,3,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",71,3,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Теорія ймовірностей та математична статистика",70,3,"Екзамен"
"d.shevchenko@khpi.edu.ua","Операційні системи",82,3,"Лабораторна робота 2"
"d.shevchenko@khpi.edu.ua","Операційні системи",67,3,"Лабораторна робота 1"
"d.shevchenko@khpi.edu.ua","Операційні системи",86,3,"Модульний контроль 2"
"d.shevchenko@khpi.edu.ua","Операційні системи",80,3,"Лабораторна робота 4"
"d.shevchenko@khpi.edu.ua","Операційні системи",87,3,"Модульний контроль 1"
"d.shevchenko@khpi.edu.ua","Операційні системи",81,3,"Екзамен"
"m.melnyk@khpi.edu.ua","Основи програмування",93,1,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Основи програмування",83,1,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Основи програмування",92,1,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Основи програмування",82,1,"Екзамен"
"m.melnyk@khpi.edu.ua","Вища математика",100,1,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Вища математика",100,1,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Вища математика",100,1,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Вища математика",100,1,"Екзамен"
"m.melnyk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",98,1,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",89,1,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",84,1,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",91,1,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",92,1,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",98,1,"Екзамен"
"m.melnyk@khpi.edu.ua","Англійська мова (1 семестр)",99,1,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Англійська мова (1 семестр)",100,1,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Англійська мова (1 семестр)",100,1,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Англійська мова (1 семестр)",100,1,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Англійська мова (1 семестр)",96,1,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Англійська мова (1 семестр)",100,1,"Залік"
"m.melnyk@khpi.edu.ua","Фізика",93,1,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Фізика",95,1,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Фізика",85,1,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Фізика",96,1,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Фізика",96,1,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Фізика",82,1,"Екзамен"
"m.melnyk@khpi.edu.ua","Вступ до ІТ",100,1,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Вступ до ІТ",92,1,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Вступ до ІТ",99,1,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Вступ до ІТ",100,1,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Вступ до ІТ",92,1,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Вступ до ІТ",94,1,"Залік"
"m.melnyk@khpi.edu.ua","Дискретна математика",90,2,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Дискретна математика",83,2,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Дискретна математика",96,2,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Дискретна математика",97,2,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Дискретна математика",82,2,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Дискретна математика",91,2,"Екзамен"
"m.melnyk@khpi.edu.ua","Архітектура комп'ютерів",84,2,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Архітектура комп'ютерів",96,2,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Архітектура комп'ютерів",99,2,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Архітектура комп'ютерів",91,2,"Екзамен"
"m.melnyk@khpi.edu.ua","Алгоритми та структури даних",96,2,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Алгоритми та структури даних",91,2,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Алгоритми та структури даних",82,2,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Алгоритми та структури даних",85,2,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Алгоритми та структури даних",82,2,"Екзамен"
"m.melnyk@khpi.edu.ua","Англійська мова (2 семестр)",90,2,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Англійська мова (2 семестр)",90,2,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Англійська мова (2 семестр)",100,2,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Англійська мова (2 семестр)",89,2,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Англійська мова (2 семестр)",98,2,"Залік"
"m.melnyk@khpi.edu.ua","Бази даних",90,3,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Бази даних",94,3,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Бази даних",95,3,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Бази даних",95,3,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Бази даних",84,3,"Екзамен"
"m.melnyk@khpi.edu.ua","Об'єктно-орієнтоване програмування",97,3,"Лабораторна робота 4"
"m.melnyk@khpi.edu.ua","Об'єктно-орієнтоване програмування",81,3,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Об'єктно-орієнтоване програмування",84,3,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Об'єктно-орієнтоване програмування",83,3,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Об'єктно-орієнтоване програмування",87,3,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Об'єктно-орієнтоване програмування",85,3,"Екзамен"
"m.melnyk@khpi.edu.ua","Теорія ймовірностей та математична статистика",90,3,"Лабораторна робота 3"
"m.melnyk@khpi.edu.ua","Теорія ймовірностей та математична статистика",95,3,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Теорія ймовірностей та математична статистика",90,3,"Лабораторна робота 1"
"m.melnyk@khpi.edu.ua","Теорія ймовірностей та математична статистика",93,3,"Екзамен"
"m.melnyk@khpi.edu.ua","Операційні системи",100,3,"Модульний контроль 1"
"m.melnyk@khpi.edu.ua","Операційні системи",100,3,"Лабораторна робота 2"
"m.melnyk@khpi.edu.ua","Операційні системи",100,3,"Модульний контроль 2"
"m.melnyk@khpi.edu.ua","Операційні системи",87,3,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Основи програмування",79,1,"Лабораторна робота 4"
"ya.kovalchuk@khpi.edu.ua","Основи програмування",71,1,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Основи програмування",81,1,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Основи програмування",77,1,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Основи програмування",79,1,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Основи програмування",65,1,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Вища математика",90,1,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Вища математика",95,1,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Вища математика",100,1,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Вища математика",84,1,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Вища математика",100,1,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",100,1,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",86,1,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",100,1,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",100,1,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (1 семестр)",87,1,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (1 семестр)",79,1,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (1 семестр)",83,1,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (1 семестр)",79,1,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (1 семестр)",70,1,"Залік"
"ya.kovalchuk@khpi.edu.ua","Фізика",78,1,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Фізика",85,1,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Фізика",76,1,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Фізика",70,1,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Фізика",84,1,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Вступ до ІТ",85,1,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Вступ до ІТ",68,1,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Вступ до ІТ",71,1,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Вступ до ІТ",69,1,"Залік"
"ya.kovalchuk@khpi.edu.ua","Дискретна математика",91,2,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Дискретна математика",98,2,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Дискретна математика",81,2,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Дискретна математика",96,2,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Дискретна математика",87,2,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Дискретна математика",80,2,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Архітектура комп'ютерів",62,2,"Лабораторна робота 4"
"ya.kovalchuk@khpi.edu.ua","Архітектура комп'ютерів",61,2,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Архітектура комп'ютерів",70,2,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Архітектура комп'ютерів",69,2,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Архітектура комп'ютерів",79,2,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Алгоритми та структури даних",75,2,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Алгоритми та структури даних",67,2,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Алгоритми та структури даних",80,2,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Алгоритми та структури даних",78,2,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (2 семестр)",73,2,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (2 семестр)",65,2,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (2 семестр)",72,2,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (2 семестр)",66,2,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (2 семестр)",72,2,"Лабораторна робота 4"
"ya.kovalchuk@khpi.edu.ua","Англійська мова (2 семестр)",84,2,"Залік"
"ya.kovalchuk@khpi.edu.ua","Бази даних",63,3,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Бази даних",66,3,"Лабораторна робота 4"
"ya.kovalchuk@khpi.edu.ua","Бази даних",74,3,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Бази даних",60,3,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Бази даних",72,3,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Бази даних",65,3,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Об'єктно-орієнтоване програмування",70,3,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Об'єктно-орієнтоване програмування",69,3,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Об'єктно-орієнтоване програмування",69,3,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Об'єктно-орієнтоване програмування",78,3,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Об'єктно-орієнтоване програмування",78,3,"Лабораторна робота 4"
"ya.kovalchuk@khpi.edu.ua","Об'єктно-орієнтоване програмування",62,3,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Теорія ймовірностей та математична статистика",90,3,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Теорія ймовірностей та математична статистика",100,3,"Лабораторна робота 2"
"ya.kovalchuk@khpi.edu.ua","Теорія ймовірностей та математична статистика",100,3,"Лабораторна робота 3"
"ya.kovalchuk@khpi.edu.ua","Теорія ймовірностей та математична статистика",100,3,"Екзамен"
"ya.kovalchuk@khpi.edu.ua","Операційні системи",71,3,"Модульний контроль 1"
"ya.kovalchuk@khpi.edu.ua","Операційні системи",76,3,"Лабораторна робота 1"
"ya.kovalchuk@khpi.edu.ua","Операційні системи",68,3,"Лабораторна робота 4"
"ya.kovalchuk@khpi.edu.ua","Операційні системи",73,3,"Модульний контроль 2"
"ya.kovalchuk@khpi.edu.ua","Операційні системи",60,3,"Екзамен"
"o.bondarenko@khpi.edu.ua","Основи програмування",77,1,"Лабораторна робота 2"
"o.bondarenko@khpi.edu.ua","Основи програмування",88,1,"Лабораторна робота 3"
"o.bondarenko@khpi.edu.ua","Основи програмування",86,1,"Модульний контроль 2"
"o.bondarenko@khpi.edu.ua","Основи програмування",82,1,"Лабораторна робота 1"
"o.bondarenko@khpi.edu.ua","Основи програмування",95,1,"Екзамен"
"o.bondarenko@khpi.edu.ua","Вища математика",68,1,"Лабораторна робота 3"
"o.bondarenko@khpi.edu.ua","Вища математика",60,1,"Лабораторна робота 2"
"o.bondarenko@khpi.edu.ua","Вища математика",61,1,"Модульний контроль 2"
"o.bondarenko@khpi.edu.ua","Вища математика",62,1,"Лабораторна робота 1"
"o.bondarenko@khpi.edu.ua","Вища математика",70,1,"Екзамен"
"o.bondarenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",75,1,"Лабораторна робота 3"
"o.bondarenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",73,1,"Модульний контроль 2"
"o.bondarenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",69,1,"Лабораторна робота 2"
"o.bondarenko@khpi.edu.ua","Лінійна алгебра та аналітична геометрія",60,1,"Екзамен"
"o.bondarenko@khpi.edu.ua","Англійська мова (1 семестр)",66,1,"Лабораторна робота 2"
"o.bondarenko@khpi.edu.ua","Англійська мова (1 семестр)",78,1,"Лабораторна робота 3"
"o.bondarenko@khpi.edu.ua","Англійська мова (1 семестр)",67,1,"Модульний контроль 1"
"o.bondarenko@khpi.edu.ua","Англійська мова (1 семестр)",72,1,"Лабораторна робота 4"
"o.bondarenko@khpi.edu.ua","Англійська мова (1 семестр)",72,1,"Залік"
"o.bondarenko@khpi.edu.ua","Фізика",73,1,"Лабораторна робота 4"
"o.bondarenko@khpi.edu.ua","Фізика",83,1,"Лабораторна робота 2"
"o.bondarenko@khpi.edu.ua","Фізика",84,1,"Лабораторна робота 3"
"o.bondarenko@khpi.edu.ua","Фізика",82,1,"Модульний контроль 2"
"o.bondarenko@khpi.edu.ua","Фізика",84,1,"Лабораторна робота 1"
"o.bondarenko@khpi.edu.ua","Фізика",71,1,"Екзамен"
"o.bondarenko@khpi.edu.ua","Вступ до ІТ",73,1,"Лабораторна робота 3"
"o.bondarenko@khpi.edu.ua","Вступ до ІТ",79,1,"Модульний контроль 1"
